UID	5m	10m	15m	20m	30m	40m	60m	80m
YBR125C	-0.38	-0.34	-0.06	-0.49	-0.22	0.28	-0.23	-0.34
YBR126C	2.06	3.46	3.69	3.44	3.1	1.81	1.06	0.91
YBR127C	0.1	0.07	0.12	-0.1	-0.09	-0.03	-0.12	-0.22
YBR128C	0.6	-0.1	0.06	-0.36	0.16	-1.29	-0.42	-0.3
YBR129C	-0.76	-0.58	-0.58	-0.43	-0.04	-0.29	-0.38	-0.29
YBR130C	-0.07	-0.44	-0.42	-0.08	-0.46	-0.68	-0.23	0.09
YBR131W	-0.56	-0.92	-0.3	-0.56	-0.25	0.1	-0.17	-0.32
YBR132C	1.58	1.74	3.07	2.84	2.34	1.59	0.77	0.52
YBR133C	-0.54	-0.58	-0.42	-0.89	-0.49	-0.25	-0.36	-0.3
YBR134W		0.69	0.11	0.42	-0.32	-0.03	-0.45	-0.3
YBR135W	-0.34	-0.27	-0.49	-0.51	-0.25	-0.06	-0.12	-0.34
YBR136W	0.9	0.06	0.51	0.5	0.24	0.2	-0.03	0.15
YBR137W	0.57	1.29	1.42	1.36	1.66	0.32	0.45	0.61
YBR138C	0.44	0.19	0.2	0.62	0.66	0.1	0.03	1
YBR139W	1.13	1.91	2.78	2.6	2.29	2	0.82	1.36
YBR140C	0.6	0.03	0.07	0.08	-0.12	-0.08	0.13	0.11
YBR141C	-1.56	-1.29	-1.43	-1.6	-1.18	-0.58	-0.32	-0.12
YBR142W	-1.25	-3.18	-3.64	-2.32	-2.4	-1.4	-0.74	-0.34
YBR143C	-0.71	-1.89	-1.94	-1.74	-1.43	-1.29	-0.76	-0.43
YBR144C			0.29		-0.71	-0.15	-0.54	-1
YBR145W	0.07	0.92	0.94	0.59	0.38	0.38	0.1	-0.1
YBR146W		-0.36	-0.07	-0.22	-0.14	-0.32	-0.27	-0.42
YBR147W	0.86	1.7	2.49	2.12	1.82	2.76	0.61	0.4
YBR148W	0.06	-0.84	-0.56	-0.15	-0.2	-0.36	-0.14	-0.32
YBR149W	0.44	1.52	1.99	2	2.18	1.66	0.42	0.23
YBR150C	0.29	-0.15	0.66	0.7	0.66	0.12	-0.06	-0.17
YBR151W	-0.1	0.53	0.7	0.58	0.58	0.57	-0.27	-0.43
YBR152W	-0.79	-1.29	-0.84	-0.47	-0.29	-0.58	-0.18	-0.17
YBR153W	-1.12	-0.74	-0.79	-0.67	-0.29	0.07	-0.27	-0.58
YBR154C	-0.67	-1.89	-1.94	-1	-0.6	-0.92	-0.12	0.39
YBR155W	-1.15	-2.12	-2.56	-2.06	-1.09	-0.76	-0.27	-0.25
YBR156C	-0.3	-0.83	-0.88	-0.42	-0.45	-0.29	0.01	-0.01
YBR157C	-0.09	0.57	0.2	0.03	0.18	0.5	-0.01	-0.23
YBR158W	-1.32	-1.36	-0.49	-0.42	-0.58	-0.58	-0.38	-0.69
YBR159W	-0.4	-0.04	0.3	-0.36	-0.07	0.01	-0.38	-0.64
YBR160W	0.03	-0.07	0.33	0.71	0.59	0.62	0.79	0.77
YBR161W	0.6	0.66	1.07	0.77	0.11	0.18	0.51	0.48
YBR162C	-0.67	-1.25	-1.4	-1.6	-2.4	-1.29	-0.67	-1.09
YBR162W-A	-0.12	-0.64	-1.56	-1.06	-1.22	-1.18	0.37	0.58
YBR163W	-1	-1.6	-1.15	-1.06	-1.18	-0.49	-0.12	-0.29
YBR164C	-0.12	-0.43	-0.74	-0.58	-0.58	-0.79	-0.03	0.04
YBR165W	-0.27	-0.25	-0.17	-0.18	-0.42	0.1	0	-0.22
YBR166C	-0.15	-0.28	-0.26	-0.39	-0.08	-0.03	0.08	0.17
YBR167C	-0.12	-0.25	-0.49	-0.29	-0.14	-0.18	0.1	0.08
YBR168W	0.2	0.4	0.7	0.48	0.36	0.18	0.18	0.44
YBR169C	2.76	3.32	4.22	3.88	3.75	2.98	2.38	1.87
YBR170C	0.11	0.33	1.17	0.98	0.96	0.71	0.44	0.54
YBR171W	-0.36	-0.69	-0.45	-0.29	-0.58	-1.06	0.01	-0.12
YBR172C	-1.69	-1.74	-1.09	-0.97	-0.81	-0.17	-0.18	-0.43
YBR173C	-0.32	-0.12	0.29	0.49	0.18	-0.74	0.12	-0.01
YBR174C	-0.43	-0.45	-0.25	-0.36		-0.25	-0.27	-0.34
YBR175W	-0.22	-0.4	-0.04	-0.1	-0.36	-0.62	-0.04	0.11
YBR176W	-0.07	0.03	0.33	0.08	0.26	0.25	0.5	0.36
YBR177C	0.81	1.08	1.28	1.23	0.89	0.36	0.33	0.38
YBR178W	0.7	0.54	1.26	0.42		0.39	0.06	0.18
YBR179C	3.63							
YBR180W		-0.74	-0.79	-0.94			-0.42	0.16
YBR181C	-0.27	-1.6	-2.32	-2.18	-1.94	-2	-0.84	-0.18
YBR182C			-0.2	-0.51			-0.06	-0.03
YBR183W	1.42	1.72	2.44	2.3	1.88	1.19	-0.09	
YBR184W	0.76	0.14	-0.15	-0.22	-0.06		1.1	
YBR185C	-0.14	0.19	0.76	0.89	0.77	0.82	0.03	
YBR186W	-1.12	-0.62	-0.45	-0.79	-0.69		-0.25	-0.32
YBR187W	-0.76	-1.51	-1.47	-1.43	-1.89	-1.22	-0.64	
YBR188C	-0.49	-0.56	-0.64	-0.79	-0.69		-0.38	-0.4
YBR189W	-0.49	-2	-2.74	-2.12	-2	-1.64	-0.94	-0.47
YBR190W	-0.29	-0.6	-1.12	-1.29	-1.03	-1.29	-0.92	-0.71
YBR191W	-0.36	-1.43	-2.25	-2	-1.94	-1.64	-0.84	-0.58
YBR192W	-0.64	-0.74	-0.2	-0.01	-0.23	-0.22	-0.09	0.04
YBR193C	-0.27	-0.2	0.34	0.65	0.19	0.19	-0.06	-0.01
YBR194W	-0.4	0.23	-0.03	0.01	0.15	-0.15	0.15	0.32
YBR195C	-0.81	-0.94	-0.67	1.08	-0.29	1.16		0.07
YBR196C	0.23	0.4	0.71	0.3	0.01	0.5	0.21	-0.01
YBR197C	-0.51	-0.97	-0.84	-0.69	-0.92	-0.81	-0.32	-0.14
YBR198C	-0.06	-0.34	0.1	-0.17	-0.1	0.1	0.08	-0.1
YBR199W	0.26	0.35	0.69	0.7	0.35	0.07	-0.16	-0.06
YBR200W	-0.34	0.1	0.11	-0.18	-0.03	0	-0.15	-0.15
YBR201W	0.24	0.58	0.32	0.5	0.37	-0.32	0.2	0.31
YBR202W	-0.67	-1.12	-1.15	-1.79	-1.51	-0.67	-1.06	-0.71
YBR203W	1.49	1.53	2.42	1.95	1.12	0.28	-0.18	0.15
YBR204C	0.45	1.37	1.54	1.04	1.06	0.77	0.14	0.01
YBR205W	-0.56	-0.97	-0.64	-0.56	-0.81	-0.56	-0.34	-0.22
YBR206W	-0.62	-0.45	-0.71	-1.22	-0.89	-0.27	-0.38	-0.69
YBR207W		-0.32	0.32	0.08	-0.07	0.37	-0.23	
YBR208C		0.33	-0.36		-0.62			
YBR209W		0.3	-0.01	0.12	0.2	0.16	0.12	
YBR210W	-0.45	-0.12	-0.76	-0.49	-0.79	-0.38	-0.25	-0.2
YBR211C	0.28	-0.47	-0.06	0.18	-0.09	-0.27	-0.67	-0.74
YBR212W	0.61	0.96	1.62	1.19	0.94	1.02	0.04	-0.04
YBR213W		-1	-0.69	-0.86	-0.42	-0.2	-0.69	
YBR214W	3.21	1.85	4.18	1.88	1.46		0.7	
YBR215W	-0.06	-1.06	-0.32	0.24	0.37	0.06	0.29	0.5
YBR216C	0.36	0.46	0.64	0.5	0.34	0.14	-0.04	0.03
YBR217W	0.26	-0.42	-0.36	0	0.21	-0.3	0.06	0.2
YBR218C	0.18	-0.93	0.53	0.68	0.33	0.72	0.06	-0.06
YBR219C	-0.6	-0.86	-0.84	-0.76	-0.69	-0.23	-0.38	-0.47
YBR220C	-0.51	-0.92	-0.47	-0.94	-0.6	0.11	-0.36	-0.45
YBR221C	-0.18	-0.3	0.01	-0.15	-0.45	-0.3	-0.36	-0.03
YBR222C	-0.2	-0.45	0.69	0.41	0.48	0.84	0.19	-0.06
YBR223C	0.21		0.29	0.63	0.52	-0.14	-0.03	-0.2
YBR224W			-0.06	-1.4	-0.06			
YBR225W	0.25		0.6	0.74	0.53	0.23	-0.04	-0.01
YBR226C			-0.32		-0.2			
YBR227C	-0.16	-0.62	-0.48	-0.07	-0.22	-0.56	-0.25	-0.27
YBR228W	0.01	0.32	0.19	-0.06	0.25	0.36	0.06	0.18
YBR229C			0.15	-0.06	-0.06	0.01	-0.38	
YBR230C	1.88	3.36	3.32	3.1	2.99	2.21	1.03	1.06
YBR231C	-0.18	-0.2	0.15	0.45	0.36	0.36	0.07	
YBR232C	-0.06	-0.14	0.07	-0.03	0.01	-0.12	0	-0.17
YBR233W	-0.04	-0.54	0.04	0.25	0.15	0.32	0.08	
YBR234C	0.15	0.5	0.99	1.06	0.63	0.7	0.1	-0.04
YBR235W	-0.74	-1.51	-0.4	-0.22	-0.4	0.08	-0.18	
YBR236C	-0.12	-0.06	0.29	0.56	0.38	0.36	0.32	0.36
YBR237W	0.04	-0.97	-0.07	0.5	0.37	0.08	0.32	
YBR238C	-1.15	-3.18	-3.18	-3.06	-2.94	-1.6	-1.51	-1.56
YBR239C	-0.45	-1.79	-0.81	-0.64	-0.43	-0.25	-0.14	
YBR240C			0.3		0.29		0.08	-0.42
YBR241C	0.62	1.2	2.89	2.69	2.66	2.77	1.43	0.97
YBR242W	-0.76	-1.22	-1.6	-1.64	-1.25	-0.86	-0.47	-0.27
YBR243C	-0.3	-0.25	-0.3	-0.25	-0.36	-0.17	0	0.04
YBR244W	-0.56	-1.06	-1.56	-1.64	-1.25	-1.4	-1.36	-1.56
YBR245C	-0.25	-1.09	-0.79	-0.34	-0.5	-0.29	-0.3	-0.14
YBR246W	-0.84	-0.34	-0.36	-0.64	-0.38	-0.32	-0.47	-0.58
YBR247C	-1.94	-4.64	-4.32	-3.18	-2.4	-1.56	-0.69	-0.32
YBR248C	-0.42	-1.09	-1.15	-0.92	-0.25	0.16	0.07	-0.07
YBR249C	-0.04	-1.03	-1.69	-2.06	-2.32	-1.79	-0.74	-0.43
YBR250W			-0.69		0.3		0.77	
YBR251W	-0.14	-0.06	0.24	0.8	0.82	-0.06	0.18	0.34
YBR252W	-0.97	-1.09	-1.64	-1.69	-1.25	-0.97	-0.27	-0.15
YBR253W	-0.38	-0.56	-0.76	-0.3	-0.25	-0.74	-0.23	0.26
YBR254C	-0.67	-0.69	-1	-0.97	-0.49	-0.56	-0.42	-0.03
YBR255W	0.12	-0.04	0.7	0.39	0.52	0.18	0.42	0.51
YBR256C	0.11	0.48	0.54	0.57	0.54	0.01	0.12	0.55
YBR257W	-0.97	-1.4	-1.36	-0.74	-0.58	-0.79	-0.29	0.07
YBR258C	-0.15	-0.01	-0.38	-0.42	0.67		-0.06	0.3
YBR259W	-0.36	-0.84	-0.62	-0.38	-0.27	0.04	0.11	0.11
YBR260C	-0.4	-0.06	0.33	0	-0.14	-0.2	-0.01	-0.06
YBR261C	-0.18	-0.07	-0.64	-0.47	-0.2	-0.25	0.46	0.23
YBR262C	-0.34	0.32	-0.32	-0.32	0.25	-0.07	-0.29	-0.1
YBR263W	-0.43	-1.51	-1.56	-1.36	-1.47	-1.22	-0.43	-0.27
YBR264C	-0.1	-0.23	-0.38	-0.4	-0.17	-0.62	-0.14	0.32
YBR265W	-0.34	-0.74	-0.56	-0.56	-0.71	-0.64	-0.03	-0.1
YBR266C	-3.64	-3.32	-4.06	-3.84	-2.94	-1.79	-1.18	-0.79
YBR267W	-3.06	-3.32	-3.18	-3.32	-2.94	-2.47	-1.15	-0.74
YBR268W	-0.97	-0.47	-0.43	-0.64		-0.09	-0.25	-0.25
YBR269C	0.83	1.43	2.1	1.7	1.42	0.99	0.63	0.6
YBR270C	-0.71		-0.27	-0.42	0.4	-0.06	-0.06	-0.06
YBR271W	-1.47	-2.56	-2.06	-2.25	-2.18	-1.69	-0.86	-0.38
YBR272C	-0.07	0.76	0.74	0.23	1.34	0.33	-0.03	0
YBR273C	0.67	0.82	1.23	1.49	1.12	0.5	0.6	0.82
YBR274W	-0.36	-0.01		-0.47	0.19	0.08	-0.18	-0.29
YBR275C	-0.09	0.08	0	-0.34		0.03	-0.07	-0.1
YBR276C	-0.94	-1.09	-0.6	-1.15	0.08	-0.23	-0.17	-0.49
YBR277C	0.33	-0.07	-0.29	-0.22	-0.07	-0.64	0.31	0.57
YBR278W	-0.04	-0.09	-0.15	-0.47	0.51	-0.23	0.04	0.44
YBR279W	0.33	0.2	0.24	1.06	0.58	0.37	0.38	0.5
YBR280C	1.56	2.29	2.94	2.82	2.18		0.86	0.72
YBR281C	0	-1.06	-0.09	0.31	0.43	1.09	0.56	0.26
YBR282W	0.1	0.33	0.28	0.7	0.91		0.36	0.58
YBR283C	-0.84	-1.6	-1.06	-0.89	-1.4	-0.47	-0.89	-1
YBR284W	0.97	0.64	1.24	1.22	1.16		0.46	0.14
YBR285W		2.49	3.92	3.5	4.13	1.67	0.3	0.21
YBR286W	0.04	0.02	0.86	0.61	0.43	0.43	-0.32	-0.41
YBR287W	0.62	0.94	1.69	1.55	0.85	0.99	0.28	0.1
YBR288C	-0.29	-0.58	-0.51	-0.47	-0.56	-0.47	-0.43	-0.42
YBR289W	0.06	-0.2	-0.03	0.18	0.01	-0.1	0.21	0.25
YBR290W	0.74	1	0.88	1.15	1.18	0.44	0.44	0.7
YBR291C	-0.94	-0.94	-1.22	-0.92	-0.79	-0.54	-0.03	0.08
YBR292C	-0.94		-1.32	-2.4	-0.54		-0.51	-0.47
YBR293W	-0.86	-0.62	-0.58	-0.62	-0.76	-0.27	-0.32	-0.2
YBR294W	-0.18	0.06	-0.03	-0.43	0.18		0.08	0.15
YBR295W	-0.27	-0.6	-0.45	-0.3	-0.38	0.07	-0.06	-0.22
YBR296C	-0.62		-0.64	-1.6	-0.29		-0.56	-0.67
YBR297W	0.99	0.91	1.77	1.06	0.71		-0.6	
YBR298C	2.07	1.59	2.03	1.04	0.83		0.03	-0.01
YBR299W		0.77	0.78	0.82	-0.1		-0.86	-0.3
YBR300C	-0.51		-0.84	-1.43	-1.06		-0.94	-0.86
YBR301W	-0.22	0.1	0.08	0.12	-0.27		-0.01	0.14
YBR302C	0.21	0.83	1.05	0.28	0.32	0.63	-0.1	-0.45
YCL001W								
YCL002C	-0.64	-0.36	-0.74	-1.18	-1.15	-0.62	-0.81	-0.81
YCL004W	-0.18	-0.27	0.33	0.11	0.12	-0.34	-0.25	-0.07
YCL005W	-0.49	-0.43	-0.56	-0.4	-0.34	-0.09	-0.3	-0.01
YCL006C	-0.27	-0.03	-0.92	-0.92	-1.06		-1.47	
YCL007C	-0.06	-0.15	-0.84	-0.45	-0.56	-0.62	-0.42	-0.42
YCL008C	0.57	0.59	0.81	0.46	0.43	0.58	0.01	
YCL009C	0.41	-0.29	0.14	-0.27	-0.58	0.19	-0.04	-0.1
YCL010C	-0.23	0.31	-0.09	-0.27	-0.23	-0.09	-0.22	-0.07
YCL011C	-0.1	-0.74	-0.45	-0.36	-0.34	-0.32	-0.3	-0.34
YCL012W		0.26	-0.51		-0.92	-0.6	-0.18	
YCL014W	-0.86	-1.69	-1.09	-1.22	-1.18	-0.47	-0.32	-0.29
YCL016C	-0.45	-0.58	-0.49	-0.4	-0.09	-0.36	-0.04	0.12
YCL017C	-0.51	-0.32	0.1	-0.42	-0.14		-0.29	-0.36
YCL018W	-0.01	0.16	0.82	0.75	0.59	0.68	0.33	0.2
YCL019W	-0.09	-0.67	-0.12	0.04	0.2	0.25	0.23	0.39
YCL020W	-0.36	-3.06	-0.62	0.14	-0.25	-0.34	0.25	0.66
YCL022C	-0.23	-0.86	-1.09	-0.89	-0.76	-0.51	0.24	-0.09
YCL023C	-0.34		-0.62	-0.86	-0.64	-0.27	-0.42	-1.03
YCL024W	-0.42	-1.51	-1.29	-0.86	-0.86		0.19	-0.17
YCL025C	0.95	-0.25	0.08	-0.32	-0.04	0.54	-0.4	-0.34
YCL027W	-0.77	-0.6	-0.12	-0.17	-0.07	0.01	-0.38	-0.68
YCL028W	-0.2	-0.81	0	0.21	0.21	0.29	0.28	-0.09
YCL029C	-0.04	-0.59	-0.45		-0.43		-0.47	-0.29
YCL030C	0.03	-1.4	-0.84	-0.74	-0.64	0.3	0.06	-0.23
YCL031C	-0.94	-1.54	-1.27	-0.77	-0.69	-1.23	-0.55	-0.28
YCL032W	-0.12	-0.71	-0.06	0.32	0.38	-0.07	0.14	0.01
YCL033C	0	0.62	0.66	0.86	1.11	0.91	0.8	0.63
YCL034W	0.2	0.21	0.49	0.65	0.49	0.15	0.34	0.32
YCL035C	0.76	1.89	1.75	2.4	2.59	1.56	1.41	1.45
YCL036W	-1.64	-2.4	-2.25	-1.64	-1.56	-1.03	-0.09	0.11
YCL037C	-0.92	-3.47	-3.47	-2.94	-2.25	-1.18	-0.67	-0.67
YCL038C	-0.27	-0.32	0.49		0.3	0.28	0.03	0.16
YCL039W	-0.22	0.57	0.06	0.41	0.08	0.88	-0.07	
YCL040W	3.21	4.38	5.32	5.12	4.59		2.19	1.99
YCL041C	-0.18	0.45	1.06	0.45	0.58	0.79	0.06	0
YCL042W	2.66	3.46	4.58	4.3	3.98	3	1.74	1.65
YCL043C	-0.17	0.38	1	0.54	0.81	1.28	0.55	0.65
YCL044C	0.33	0.74	1.29	0.85	0.65	0.99	0.46	0.37
YCL045C	-0.5	-0.73	-0.17	-0.56	-0.49	0.07	-0.45	-0.64
YCL046W	-0.4	-1.79	-0.34	0.84	-0.69	-0.38	-0.64	-0.4
YCL047C	0.52	1.09	0.93	0.78	0.93	0.94	0.83	0.65
YCL048W		0.06	-0.58			-0.4		-0.25
YCL049C	-0.64	0	0.32	0.15	0.58	0.85	-0.2	-0.47
YCL050C	0.99	1.3	1.34	1.31	0.8	-0.03	0.77	0.53
YCL051W	0.42	0.32	1	0.44	0.06	0.07	-0.29	-0.15
YCL052C	0.31	0.69	0.96	1.09	0.65	-0.04	0.34	0.48
YCL054W	-2.47	-3.84	-3.84	-2.94	-2.18	-1.79	-0.58	-0.42
YCL055W	-0.2	-0.4	-0.42	-0.15	0.23	-0.06	0.31	0.46
YCL056C	-0.15	0.04	0.3	0.42	0.36	0	0.61	0.54
YCL057W	-0.07	0.03	0.88	0.83	0.7	0.9	0.34	0.29
YCL058C	-0.79	-0.47	-0.64	-0.03	0.04	-0.64	0.6	0.7
YCL059C	-0.29	-1.79	-3.64	-4.32	-3.32	-2.32	-0.56	0.06
YCL061C	-0.06	0.27	-0.8	-0.76	-0.6	-0.03	-0.32	0.01
YCL063W	-0.86	-0.81	-0.89	-1.64	-0.89	-1.03	-0.64	-0.4
YCL064C	-0.25	0.67	1.44	1.58	0.97	0.11	0.69	1.22
YCL065W	-0.18	0.03	0.08	-0.45		-0.22	-0.45	-0.32
YCL066W	0.32	-0.6	0.6	0.01	-0.42	-1.22		-0.12
YCL067C	0.14	0.64	0	0.06	0.72	-0.12	0.21	0.72
YCL068C	0.34	0.43	0.37	0.3	0.1	-0.25	0.25	0.34
YCL069W	-1.12			-0.94			-0.29	-0.29
YCL073C								
YCL074W			-1.15	-2.18			-1.79	-1.56
YCL075W	-0.29	-0.6	-0.47	-0.49		-0.74		-0.45
YCL076W			-1.15	-1.36			-2.12	-1.47
YCR001W	0.71	0.46	-0.15	-0.27	-0.17		-0.38	-0.1
YCR002C	-0.23	0.25	0.2	-0.49	-0.18	-0.09	-0.07	-0.23
YCR003W	-0.74	-0.54	-0.58	-0.2	-0.04		-0.47	0.11
YCR004C	0.43	1.29	1.47	1.2	1.21	1.08	0.42	0.16
YCR005C	1.44	1.69	2.33	2.29	1.63		-0.07	0.14
YCR006C			-0.54	-1.69	-0.62		-0.54	-0.42
YCR007C	-0.4	0.2	0.19	-0.03	0.45		0.39	0.33
YCR008W	-0.38	-0.14	0.46	-0.29	-0.29	0.08	-0.06	-0.3
YCR009C	0.18	0.47	0.15	0.41	-0.15	-0.38	-0.42	-0.32
YCR010C			1.55	0.58			-0.14	-0.15
YCR011C	0.68	0.81	1.84	1.56	1.08		0.87	0.67
YCR012W	0.26	1.11	1.26	0.72	0.81	1.44	0.72	0.12
YCR013C	0.33	0.52	1.24	1.33	1.02	1.17	0.7	0.54
YCR014C	-0.69	-0.84	-0.69	-0.45	-0.43	-0.84	-0.23	0.03
YCR015C	-0.56	-1.12	-0.32	0.07	0.07	0	0.08	0.28
YCR016W	-0.94	-2.25	-2.84	-2.12	-2	-1.51	-0.89	0
YCR017C		-1.03	-0.17	-0.02		-0.09	-0.4	-0.76
YCR018C		-0.29	-0.09	-0.86	-0.32	0.73		
YCR019W	-0.03	-0.38	-0.01	0.33	0.23	0.04	0.07	0.04
YCR020C	-0.47	-0.6	-0.79	-1.18	-0.94	0.11	-0.3	-0.47
YCR020C-A	-0.18	-0.84	-0.58	-0.01	0.16	0.3	0.57	0.62
YCR021C	3.65	3.55	2.49	1.45	0.97		1.14	1.83
YCR022C			-0.58	-0.3	-0.92		-0.69	-1.25
YCR023C	-0.06	-0.23	0	-0.25	-0.3	-0.09	-0.1	-0.17
YCR024C	0.04	0.32	0.94	0.45	0.91		0.01	-0.15
YCR024C-A	-0.49	-0.53	-0.88	-1.3	-1.24	-0.68	-0.48	-0.19
YCR025C	0.77	0.01	0.14	0.07	0.08		0.15	0.2
YCR026C	0.03	-0.01	0.18	-0.34	0.03	0.28	-0.22	-0.22
YCR027C	-0.47	-0.21	-0.2	-0.18	-0.69	-0.43	-0.44	-0.1
YCR028C	-0.33	-0.36	-0.56	-1.24	-0.69	-0.18	-0.98	-0.54
YCR030C	0.53	0.08	1.52	1.53	0.94	0.4	0.12	0.15
YCR031C	-0.74	-0.76	-1.22	-1.84	-1.64	-1	-1.06	-1.18
YCR032W	0.38		-0.28	-0.34	-0.22	-0.63	-0.52	-0.43
YCR033W	0.38	-0.18	0.03	0.36	-0.07	-0.12	-0.44	0.29
YCR034W	-0.76	-2.12	-1.89	-1.79	-1.69	-0.89	-0.62	-0.74
YCR035C	-1.22	-1.25	-1.43	-1.03	-1	-0.79	-0.51	-0.43
YCR036W	0.04	-0.01	0.74	1.18	1.11	0.79	0.53	0.56
YCR037C	-0.97	-1.36	-0.49	-0.34	-0.22	-0.18	-0.06	-0.14
YCR038C	0.41	0.01	0.58		0.64	0.46	0.4	0.3
YCR039C	0.24	0.5	-0.25	0.46	0.41	-0.4	0.29	0.82
YCR040W			-0.84		-0.36			-1.32
YCR041W	-0.38	-0.17	-0.17	-0.25	-0.01	-0.3	-0.42	-0.14
YCR042C	-0.2	-1.47	-0.45	0.14	-0.03	-0.01		0.19
YCR043C	-0.67	-0.84	-1.15	-1.15	-1.06	-0.94	-0.47	-0.38
YCR044C	-0.45	-0.76	0.04	0.18	-0.04	0.23		-0.32
YCR045C	-0.22	0.07	0.14	-0.18	0.07	0.49	-0.32	-0.18
YCR046C	-0.25	0.16	0.56	0.67	0.46	0.39	0.37	0.19
YCR047C	-1.43	-1.32	-1.94	-1.84	-1.29	-0.84	-0.62	-0.86
YCR048W	0.23	-0.22	0.32	0.18	0	0.37	0.54	0.42
YCR049C	-0.06	-0.64	0.38	-0.12	0.08	0.7	0.26	0.04
YCR050C	0.24	0	0.12	0.12	-0.27		0.04	0.04
YCR051W	-1	-1.36	-1.6	-1.79	-1.43	-0.56	-0.76	-0.84
YCR052W	-0.29	-0.76	-0.49	-0.23	-0.36	-0.43	-0.01	-0.12
YCR053W	-0.38	-0.4	-0.36	-0.97	-0.71	-0.23	-0.49	-0.67
YCR054C	-0.24	-0.85	-0.91	-0.61	-0.67	-0.86	-0.35	-0.22
YCR057C	-2.18	-2.56	-3.32	-3.47	-2.4	-1.15	-1	-1.03
YCR059C	-0.42	-0.89	-1.47	-1.6	-1.09	0.1	0.14	-0.14
YCR060W	-0.17	-0.47	-0.58	-0.3	-0.23	-0.79	0.79	0.7
YCR061W	1.11	1.62	2.57	2.21	1.88	2.1	1.42	1.2
YCR062W	1.1	1.67	2.42	2.34	1.52	1.28	1.55	1.3
YCR063W	-1.25	-0.97	-1.09	-1.32	-1.15	-0.49	-0.29	-0.15
YCR064C	-0.97	-0.81	-0.71	-0.51	-1.09	-1.4	-0.18	-0.09
YCR065W	-0.76	-0.74	-0.34	-0.74	-0.84	-0.25	-0.07	-0.45
YCR066W	0.01	-0.47	0.41	0.51	0.1	-0.97	0.34	0.33
YCR067C	0.22	0.39	0.65	0.22	0.11	0.65	-0.09	-0.15
YCR068W	0.16	-0.69	1.2	1	0.63	0.67	0.96	0.93
YCR069W	0.16	0.67	0.96	0.54	0.41	0.87	0.53	0.39
YCR071C	-0.71	-0.07	0.18	-0.42	0.28	0.45	0.21	-0.03
YCR072C	-2.56	-2.64	-4.32	-3.64	-2.94	-2	-0.81	-0.74
YCR073C	-0.94	-1.06	-1.22	-1.84		-0.47	-0.4	-0.67
YCR075C	0.14	0.57	0.8	-0.3	0.39	0.58	0.43	0.33
YCR076C	0.24	0.53	0.95	0.99	0.96	0.58	0.91	0.78
YCR077C	-0.43	-0.27	0.19	-0.51	-0.23	0.2	-0.04	-0.25
YCR079W	0.77	1.07	1.44	1.08	0.68	0.39	0.72	0.41
YCR081W	-0.12	-0.74	-0.12	0.24	-0.06	-0.22	0.1	0.21
YCR082W	-0.6	0	0.18	-0.43	0.46	0.38	-0.01	0.4
YCR083W	-0.32	0.06	0.45	0.73	0.5	0.31	0.01	0.04
YCR084C	-0.18	-0.76	0	-0.34	-0.56		0.01	-0.14
YCR085W		-1.29	-1.12	-0.84	-1.43		-1.09	-3.64
YCR086W	-0.47	-0.12	-0.51	-0.36	-0.1	-0.29	0.63	0.68
YCR087W	-0.64	-1.64	-2.4	-1.94	-2.47	-1.89	-0.97	-0.47
YCR088W	0.48	0.87	1.58	1.3	1.25	1.44	1.11	0.31
YCR089W	-0.32	-0.49	-0.86	-0.67	-0.97	-0.42		-0.43
YCR090C	-0.07	-0.27	-0.62	-0.51	-0.32	-0.54	0.1	0.36
YCR091W	1.32	1.54	2.77	2.5	1.85	0.91	0.57	0.77
YCR092C	0.11	-0.17	0.38	0.3	0.15	0.06	0.51	0.34
YCR093W	-0.12	-0.66	-0.46	-0.15	-0.35	-0.62	-0.3	-0.67
YCR094W	-0.42	-0.56	-0.22	-0.42	-0.45	-0.1	0.1	-0.1
YCR095C	-0.54	-0.64	-0.89	-0.49	-0.6		-0.25	-0.15
YCR096C	0.38	0.63	-0.14	-0.04	0.52	-0.29	0.32	0.58
YCR098C		-0.04	0.44	-0.12				-0.06
YCR099C	0.3	0.53	0.6	0	0.25	0.11	-0.2	-0.69
YCR100C		0.39	0.57	0.21				-0.32
YCR101C	0.04	-0.36	0.39	-0.29	0.04	-0.1	-0.42	-0.86
YCR102C	-0.22	-0.47	-0.86	-0.06	-1.22		-1.25	-1.32
YCR103C	-0.34	-0.45	-0.47	-1	-0.51	-0.17	-0.07	-0.64
YCR104W	-0.1	0.08	0.14	0.06	-0.15		-0.03	-0.3
YCR105W	-0.36	0.37	1.21	-0.07	0.96	0.5	0.39	-0.03
YCR106W	-0.92	-2.18	-1.06	-0.86	-1.06	-0.56	-0.32	-0.71
YCR107W	-0.67	-0.42	-0.29	-0.51	-0.4	-0.12	0.06	-0.14
YDL001W	-0.2	-0.47	-0.49	-0.49	-0.07	-0.2	-0.1	0.12
YDL002C	-0.27	-0.69	-0.51	0.12	0.1	-0.32		0.45
YDL003W	-0.62	-1.12	-1.84	-1.43	-1.4	-0.67	0.65	0.39
YDL004W	0	0.43	0.63	0.79	0.34	0.1	0.11	0.45
YDL005C	-0.07	-0.04	-0.36	0.07	0	-0.58	-0.2	-0.38
YDL006W	-0.03	-0.29	-0.29	-0.12	-0.29	-0.25	-0.12	0.23
