UID	5m	10m	15m	20m	30m	40m	60m	80m
YBR035C	0.29	0.99	1.03	0.96	1.23	0.77	0.33	0.26
YBR036C	-0.01	0.2	0.9	0.58	0.24	0.03	-0.14	0.07
YBR037C	0.44	1.06	1.21	1.03	1.04	1.02	0.46	0.12
YBR038W	0.31	-0.2	0.01	-0.27	-0.58	-0.11	-0.27	-0.32
YBR039W	-0.03	0.48	0.57	0.5	0.7	0.42	0.2	0.08
YBR040W	-0.74		-1.56	-1.4		-3.18	-0.56	-0.14
YBR041W	-0.1	0.79	0.14	-0.54	-0.36	-0.22	-0.84	-2.74
YBR042C	-0.54	-1.25	-0.64	-0.62	-0.69	-0.29	-0.22	-0.29
YBR043C	-0.34	-0.74	-0.62	-0.67	-0.38	0.1	0.11	0.01
YBR044C	0.01	-1.03	0.14	0.55	0.63	0.24	0.04	0.39
YBR045C		-0.51	-0.18		0.03		-0.38	
YBR046C	0.74		2.18	2.36	2.32	1.56	0.81	0.52
YBR047W			0.43		0.86		0.04	
YBR048W	-0.39	-1	-1.54	-1.99	-2.15	-1.76	-1.15	-1.23
YBR049C	-0.27	-0.86	-0.56	-0.23	-0.29	-0.34	-0.15	-0.2
YBR050C		-0.01	-0.34		-0.34		-0.47	-0.58
YBR051W			0.03		0.04		-0.86	
YBR052C	0.93	1.5	2.19	2.66	2.58	1.7	1.2	1.24
YBR053C	1.21	2.19	2.75	2.75	2.79	2.11	1.43	1.11
YBR054W	1.2	1.5	1.84	1.04	1.6	1.1	0.82	1.58
YBR055C	-0.38	-0.45	-0.2	-0.47	0	0.01	-0.14	0.01
YBR056W	1.5	2.12	2.74	2.87	2.75	1.56	1.09	1.12
YBR057C	-0.6	-0.25	-0.43	-0.29	-0.23	-0.29	-0.6	-0.43
YBR058C	0.05	-0.57	0.01	0.14	0.14	-0.2	0.32	0.2
YBR059C	0.25	0.12	1.19	0.6	0.81	0.96	0.18	-0.09
YBR060C	-0.25	-1.12	-0.89	-0.3	-0.36	-0.64	-0.04	0.07
YBR061C	-1.47	-1.4	-2.12	-2	-1.25	-0.97	-0.51	-0.45
YBR062C	0.39	0.9	0.67	1.12	1.44	0.06	0.46	0.55
YBR063C	-0.14	0.12	0.25	0.15	0.44	0.31	0.31	0.33
YBR064W	-0.03	-0.32	-0.2	0.16	0.15	-0.42	-0.03	0.06
YBR065C	-0.22	-0.42	0.07	0.2	0.29	0.38	0.29	0.4
YBR066C	1.69	0.39	0.44	0.71	0.89	0.15	0.73	1
YBR067C	0.21	1.07	0.53	-0.14	-0.89	-0.38	-0.58	-0.67
YBR068C	0.72	-0.01	0.85	0.91	0	-0.15	-0.17	-0.17
YBR069C	-1.03	-1.94	-2	-2.06	-2.06	-0.94	-0.81	-0.43
YBR070C	-0.14	-0.47	-0.54	-0.89	-1.15	-0.84	0.32	-0.01
YBR071W	-0.74	-0.11	-0.04	-0.58	-0.51	0.54	0.46	-0.24
YBR072W	2.73	3.43	3.69	3.84	3.1	2.61	1.85	1.56
YBR073W	-0.23	-1.06	-0.92	-0.84	-0.43	0.08	0.69	0.43
YBR074W	-0.25	-1.89	-0.23	-0.06	-0.56	-0.42	0.1	0.2
YBR075W	-0.17	-0.23	0.16	-0.36	-0.25	0.31	0.03	0.19
YBR076W	0.11	-0.6	-0.07	-0.18	-0.34		0.07	0.58
YBR077C	0.07	0.28	0.21	-0.23	0.15	0.2	0.36	0.4
YBR078W	-0.27	-0.81	-0.6	-0.97	-1.6	-0.94	-0.18	-0.06
YBR079C	-0.64	-2.06	-1.6	-2.18	-0.56	-0.58	-0.58	-0.79
YBR080C	0	-0.2	0.4	0.57	0.19	0	0.19	0.2
YBR081C	-0.1	-0.14	0.07	-0.3	0.02	0.24	-0.01	-0.1
YBR082C	1.12	1.54	1.42	1.44	0.92	0.14	0.78	1.1
YBR083W	0.67	1.2	1.32	0.82	1.2	1.23	0.53	0.51
YBR084C-A	-0.15	-1.29	-2.06	-1.64	-1.6	-1.64	-0.6	-0.01
YBR084W	-1.06	-2.32	-2.84	-3.18	-2.74	-1.29	-0.62	-0.54
YBR085W	0.25	0	-0.62	0.41	-0.64	-0.01	0.2	0.21
YBR086C	-0.95	-1.36	-0.46	-1.19	-0.97	-0.62	-0.92	-0.68
YBR087W	-0.25	-0.62	-0.84	-0.67	-0.62	-0.76	-0.14	0.14
YBR088C	-1.51	-1.56	-2.25	-3.06	-1.84	-0.71	-0.18	-0.92
YBR089W	-1.43	-2.25	-2.47	-2.06	-2.12	-1.15	-0.23	-0.51
YBR090C	0.32	1.03	1.05	0.57	0.1		0.14	-0.06
YBR091C	0.6	0.39	1.13	-0.45	-0.56	-0.27	-0.29	-0.23
YBR092C	-0.71	-1.64	-2.18	-2.12	-2	-1	-0.6	0.38
YBR093C	-0.54	-1.43	-1.64	-1.89	-1.74	-0.71	-0.18	0.34
YBR094W	-0.34	-0.58	-0.3	-0.14	-0.47	-0.34	-0.22	-0.07
YBR095C	-0.25	-0.17	0.63	-0.09	-0.1	-0.18	0.34	0.23
YBR096W	0.14	0.89	1.05	0.95	0.67	0.91	0.53	0.52
YBR097W	1	0.18	2.98	-0.64	-0.34	-0.2	0.27	-0.27
YBR098W		0.17	-0.09	-0.15	-0.43		-0.22	-0.67
YBR099C	2.46	0.65	1.69	-0.01	-0.22	-0.29	0.16	0.01
YBR100W	2.02	0.29	-0.1	-0.03	-0.14		0.06	0.2
YBR101C	3.34	2.68	1.34	0.73	0.9	0.69	0.83	0.61
YBR102C	-0.45	-0.54	-0.36	0.31	0.1		0.21	0.45
YBR103W	-0.09	0.25	0.3	-0.09	0.43	0.2	0.29	0.16
YBR104W	-1.4	-2.74	-1.29	-2.12	-2.4		-0.58	-0.38
YBR105C	0.86	1.34	1.97	1.49	1.77	1.52	0.58	0.21
YBR106W	-0.47	-1.25	-1.4	-1.15	-1.12		-0.15	-0.25
YBR107C	-0.64	-0.15	-0.32	-1.12	-0.49	-0.22	-0.4	-0.71
YBR108W	0.49	0.36	1.18	1.21	1.01		0.72	0.59
YBR109C	-0.01	0.75	0.61	-0.14	0.34	0.38	0.21	0
YBR110W	-0.54	-0.36	-0.01	-0.14	-0.34		-0.18	-0.27
YBR111C	-0.06	0.76	1.13	0.8	1.44	1.18	0.59	0.31
YBR112C	0.04	-1	-0.17	0.28	-0.25	-0.27	0.14	0.15
YBR113W	0.45	-0.54	0.26	0.55		0.99		1.28
YBR114W	1.13	0.77	1.59	1.67	1.1	0.89	0.82	0.56
YBR115C	-0.25	-1.12	-0.86	-1.18	-0.71	-0.23	-0.17	-0.18
YBR116C	-0.09	2.96	4.82	4.59	4.51	2.82	-0.04	-0.38
YBR117C	0.06	2.05	4.15	3.27	3.98	2.03	-0.4	-0.3
YBR118W	0.21	-0.27	-0.09	-0.09	-0.81	-0.69	-0.15	-0.06
YBR119W	0.36	0.03	-0.06	0.2	0.48	-0.45	-0.18	0.66
YBR120C	-0.03	0.34	0.21	0.77	0.87	-0.03	0.15	0.36
YBR121C	-0.23	-0.97	-1.32	-1.79	-1.69	-1.22	-0.81	-0.27
YBR122C	-0.42	0.01	0.19	0.61	0.31	0.16	0.24	0.42
YBR123C	-0.11	0.28	0.03	-0.08	-0.16	-0.12	-0.24	0.14
YBR124W	-0.29	-0.38	-0.23	-0.12	-0.47	-1.12	-0.47	-0.2
