TF	Gene	Interaction
IHF	b1112	1
IHF	b3791	-1
IHF	b3630	1
IHF	b4138	-1
IHF	b2637	1
IHF	b0250	1
IHF	b0600	1
IHF	b0724	-1
IHF	b0040	1
IHF	b3509	1
IHF	b1546	1
IHF	b0428	-1
IHF	b2204	1
IHF	b1486	1
IHF	b3788	-1
IHF	b2636	1
IHF	b0037	1
IHF	b0042	1
IHF	b2660	1
IHF	b0245	1
IHF	b3603	-1
IHF	b2034	-1
IHF	b2423	1
IHF	b2032	-1
IHF	b1487	1
IHF	b2206	1
IHF	b0331	1
IHF	b0043	1
IHF	b2662	1
IHF	b3787	-1
IHF	b3629	1
IHF	b2424	1
IHF	b0728	-1
IHF	b2414	1
IHF	b2242	-1
IHF	b0565	-1
IHF	b2207	1
IHF	b2482	1
IHF	b0432	-1
IHF	b3941	1
IHF	b3846	1
IHF	b2634	1
IHF	b1415	-1
IHF	b0251	1
IHF	b1338	1
IHF	b2661	1
IHF	b4050	1
IHF	b2406	1
IHF	b2713	1
IHF	b1549	1
IHF	b3044	1
IHF	b4203	-1
IHF	b3456	1
IHF	b2037	1
IHF	b0726	-1
IHF	b1937	1
IHF	b2221	1
IHF	b4201	-1
IHF	b2033	-1
IHF	b2497	-1
IHF	b1334	1
IHF	b4202	-1
IHF	b1924	1
IHF	b4200	-1
IHF	b4123	1
IHF	b2860	1
IHF	b1938	1
IHF	b2041	1
IHF	b2659	1
IHF	b1333	1
IHF	b3454	1
IHF	b0439	-1
IHF	b0729	-1
IHF	b1402	1
IHF	b1925	1
IHF	b2486	1
IHF	b1547	1
IHF	b2365	1
IHF	b4152	1
IHF	b4062	1
IHF	b0035	1
IHF	b1943	1
IHF	b4047	1
IHF	b0334	1
IHF	b3785	-1
IHF	b4272	1
IHF	b3786	-1
IHF	b3691	1
IHF	b2663	1
IHF	b2905	-1
IHF	b1739	1
IHF	b4154	1
IHF	b3517	1
IHF	b0836	1
IHF	b1011	1
IHF	b0071	1
IHF	b3868	1
IHF	b1493	1
IHF	b1012	1
IHF	b3215	1
IHF	b1926	1
SOXS	b2159	1
SOXS	b1277	1
SOXS	b0684	1
SOXS	b3908	1
SOXS	b1611	1
SOXS	b4062	-1
SOXS	b0851	1
SOXS	b0853	1
SOXS	b0850	1
SOXS	b1852	1
SOXS	b0683	1
SOXS	b0852	1
SOXS	b0951	1
SOXS	b0950	1
SOXS	b2530	1
SOXS	b2529	1
SOXS	b2684	1
SOXS	b2528	1
SOXS	b2531	1
SOXS	b3924	1
SOXS	b2759	1
SOXS	b1702	1
SOXS	b1744	1
SOXS	b2905	1
SOXS	b0595	1
SOXS	b0593	1
SOXS	b2203	1
SOXS	b0833	1
OXYR	b1683	1
OXYR	b1681	1
OXYR	b1684	1
OXYR	b1682	1
OXYR	b1680	1
OXYR	b0849	1
OXYR	b1679	1
OXYR	b2000	-1
OXYR	b0606	1
OXYR	b3518	1
OXYR	b3942	1
OXYR	b0605	1
OXYR	b3961	1
OXYR	b2582	1
OXYR	b0683	1
OXYR	b0475	1
OXYR	b4367	1
OXYR	b2155	1
OXYR	b0805	1
OXYR	b1495	1
OXYR	b1471	1
OXYR	b0468	1
OXYR	b0936	1
OXYR	b1496	1
OXYR	b1972	1
OXYR	b4293	1
OXYR	b2287	1
OXYR	b1470	1
OXYR	b2339	1
OXYR	b1818	1
OXYR	b1347	1
OXYR	b2284	1
METR	b3829	1
METR	b2551	1
METR	b4019	1
METR	b3828	1
METR	b2012	1
METR	b2013	1
METR	b1481	1
METR	b4368	1
PURR	b2499	-1
PURR	b2312	-1
PURR	b2313	-1
PURR	b4006	-1
PURR	b0032	-1
PURR	b1062	-1
PURR	b2557	-1
PURR	b2500	-1
PURR	b0945	-1
PURR	b0033	-1
PURR	b2551	-1
PURR	b2476	-1
PURR	b0522	-1
PURR	b0523	-1
PURR	b2311	-1
PURR	b4177	-1
PURR	b2507	-1
PURR	b4005	-1
PURR	b2508	-1
PURR	b2553	-1
PURR	b1658	-1
PURR	b1131	-1
PURR	b1132	-1
PURR	b1849	-1
PURR	b4064	-1
PURR	b0336	-1
PURR	b2497	-1
PURR	b2939	-1
PURR	b4246	-1
PURR	b4244	-1
PURR	b4245	-1
PURR	b3714	-1
PURR	b0120	-1
PURR	b2498	-1
PURR	b2682	-1
PURR	b1144	-1
PURR	b0337	-1
PURR	b2763	-1
PURR	b2155	-1
PURR	b2762	-1
PURR	b2764	-1
PURR	b1686	-1
PURR	b4288	-1
PURR	b2803	-1
PURR	b3364	-1
PURR	b3180	-1
GLPR	b3927	-1
GLPR	b3426	-1
GLPR	b2241	-1
GLPR	b2243	-1
GLPR	b2239	-1
GLPR	b2242	-1
GLPR	b3926	-1
GLPR	b2240	-1
GLPR	b3925	-1
GLPR	b2094	-1
GLPR	b0583	-1
GLPR	b1705	-1
GLPR	b0586	-1
GLPR	b1922	-1
GLPR	b2093	-1
GLPR	b0584	-1
GLPR	b4287	-1
GLPR	b4290	-1
PSPF	b1304	1
PSPF	b1305	1
PSPF	b1306	1
PSPF	b1308	1
PSPF	b1307	1
PSPF	b1303	-1
PSPF	b4050	1
PSPF	b1426	1
PSPF	b1009	1
PSPF	b1008	1
PSPF	b3995	1
PSPF	b1645	1
PSPF	b1643	1
PSPF	b1644	1
AGAR	b3133	-1
AGAR	b3136	-1
AGAR	b3138	-1
AGAR	b3140	-1
AGAR	b3135	-1
AGAR	b3134	-1
AGAR	b3132	-1
AGAR	b3141	-1
AGAR	b3131	-1
AGAR	b3137	-1
AGAR	b3139	-1
AGAR	b3563	-1
AGAR	b2015	-1
AGAR	b3330	-1
AGAR	b3104	-1
AGAR	b1534	-1
AGAR	b1533	-1
AGAR	b3709	-1
AGAR	b2870	-1
AGAR	b3027	-1
AGAR	b2238	-1
AGAR	b2878	-1
MALT	b4035	1
MALT	b4036	1
MALT	b4034	1
MALT	b4037	1
MALT	b4032	1
MALT	b4033	1
MALT	b3417	1
MALT	b3416	1
MALT	b3571	1
MALT	b0403	1
MALT	b4210	1
MALT	b4061	1
MALT	b4060	1
MALT	b1009	1
MALT	b1012	1
MALT	b1010	1
MALT	b1008	1
MALT	b1011	1
CAIF	b0041	1
CAIF	b0038	1
CAIF	b0040	1
CAIF	b0043	1
CAIF	b0044	1
CAIF	b0042	1
CAIF	b0039	1
CAIF	b0037	1
CAIF	b0035	1
CAIF	b0036	1
CAIF	b0012	1
CAIF	b0245	1
CAIF	b0292	1
CAIF	b0139	1
CAIF	b0013	1
CAIF	b0107	1
CAIF	b0247	1
CAIF	b0370	1
CAIF	b0011	1
CAIF	b0550	1
CYSB	b2424	1
CYSB	b2425	1
CYSB	b2752	1
CYSB	b2751	1
CYSB	b2750	1
CYSB	b2414	1
CYSB	b0365	1
CYSB	b0936	-1
CYSB	b1987	1
CYSB	b0366	1
CYSB	b2422	1
CYSB	b0933	-1
CYSB	b0937	-1
CYSB	b2421	1
CYSB	b2423	1
CYSB	b0368	1
CYSB	b0934	-1
CYSB	b0935	-1
CYSB	b0367	1
CYSB	b1379	-1
CYSB	b2762	1
CYSB	b2764	1
CYSB	b2763	1
CYSB	b2012	1
CYSB	b2013	1
CYSB	b3661	1
CYSB	b1287	1
CYSB	b1729	1
CYSB	b3917	1
CYSB	b3589	1
CYSB	b1332	1
CYSB	b0831	1
CYSB	b1466	1
CYSB	b1468	1
CYSB	b1467	1
CYSB	b1465	1
CYSB	b2792	1
CYSB	b3755	1
CYSB	b2791	1
CYSB	b2287	1
METJ	b3941	-1
METJ	b4013	-1
METJ	b3008	-1
METJ	b3829	-1
METJ	b3828	-1
METJ	b0199	-1
METJ	b0197	-1
METJ	b3939	-1
METJ	b0198	-1
METJ	b3006	-1
RCSAB	b1892	-1
RCSAB	b1481	1
RCSAB	b1951	1
RCSAB	b1482	1
RCSAB	b1480	1
RCSAB	b1891	-1
RCSAB	b0094	1
RCSAB	b2060	1
