TF	Gene	Interaction
FADR	b4018	1
ARGR	b1748	1
ARGR	b1744	1
ARGR	b1746	1
ARGR	b1747	1
ARGR	b1745	1
ARGP	b3701	1
ARGP	b3700	1
ARGP	b3702	1
ARGP	b2235	1
ARGP	b2234	1
FIS	b2287	1
FIS	b2286	1
FIS	b2282	1
FIS	b2288	1
FIS	b2281	1
FIS	b2283	1
FIS	b2285	1
FIS	b2279	1
FIS	b3276	1
FIS	b3853	1
FIS	b3273	1
FIS	b2278	1
FIS	b3852	1
FIS	b3277	1
FIS	b2277	1
FIS	b2284	1
FIS	b1531	1
FIS	b0244	1
FIS	b0216	1
FIS	b0116	1
FIS	b3171	1
FIS	b3168	1
FIS	b2280	1
FIS	b3166	1
FIS	b3165	1
FIS	b2348	1
FIS	b3167	1
FIS	b3799	1
FIS	b3796	1
FIS	b0665	1
FIS	b0664	1
FIS	b0668	1
FIS	b0666	1
FIS	b0672	1
FIS	b4000	1
FIS	b0673	1
FIS	b0536	1
FIS	b2235	1
FIS	b2234	1
FIS	b3797	1
FIS	b0971	1
FIS	b0744	1
FIS	b3545	1
FIS	b2967	1
FIS	b4111	1
FIS	b2189	1
FIS	b3979	1
FIS	b3978	1
FIS	b1231	1
FIS	b1230	1
FIS	b0745	1
FIS	b4134	1
FIS	b4370	1
FIS	b4368	1
FIS	b1229	1
FIS	b4369	1
FIS	b2402	1
FIS	b2782	1
FIS	b3977	1
FIS	b2403	1
FIS	b4270	1
FIS	b2396	1
FIS	b2397	1
FIS	b2864	1
FIS	b3798	1
FIS	b2276	1
FIS	b3170	1
FIS	b1530	1
FIS	b4008	1
FIS	b3855	1
FIS	b3976	1
FIS	b0743	1
FIS	b3969	1
FIS	b2590	1
FIS	b3759	1
FIS	b3757	1
FIS	b0205	1
FIS	b3971	1
FIS	b3272	1
FIS	b3274	1
FIS	b3169	1
FIS	b3275	1
FIS	b3164	1
FIS	b2588	1
FIS	b4010	1
FIS	b3980	1
FIS	b3870	1
FIS	b2781	1
FIS	b2783	1
FIS	b3758	1
FIS	b3854	1
FIS	b0201	1
FIS	b4009	1
FIS	b3869	1
FIS	b0204	1
FIS	b2591	1
FIS	b3851	1
FIS	b1241	1
FIS	b2589	1
FIS	b3868	1
FIS	b3756	1
FIS	b0405	1
FIS	b1532	1
FIS	b1237	1
RHAS	b3903	1
RHAS	b3902	1
RHAS	b3904	1
NORR	b2710	1
NORR	b2711	1
ARAC	b2841	1
ARAC	b1901	1
ARAC	b1900	1
ARAC	b0396	1
CUER	b0484	1
CUER	b0123	1
FUR	b2105	1
IHF	b4015	1
IHF	b4014	1
IHF	b4016	1
IHF	b3578	1
IHF	b3115	1
IHF	b3116	1
IHF	b3117	1
IHF	b3580	1
IHF	b3582	1
IHF	b3579	1
IHF	b2727	1
IHF	b2728	1
IHF	b3583	1
IHF	b2720	1
IHF	b3118	1
IHF	b2721	1
IHF	b2729	1
IHF	b2723	1
IHF	b2718	1
IHF	b2726	1
IHF	b2719	1
IHF	b3581	1
IHF	b2976	1
IHF	b2717	1
IHF	b2725	1
IHF	b0810	1
IHF	b0811	1
IHF	b0809	1
IHF	b3576	1
IHF	b1304	1
IHF	b2764	1
IHF	b2979	1
IHF	b2722	1
IHF	b3728	1
IHF	b3577	1
IHF	b2763	1
IHF	b2977	1
IHF	b3575	1
IHF	b1681	1
